name;short_text;prob2_0
b1_p1_h1;Мелеховский двор — на самом краю хутора. Воротца со скотиньего база ведут на север к Дону. Крутой восьмисаженный спуск меж замшелых в прозелени меловы;0.003499060283360046
b1_p1_h2;Редкие в пепельном рассветном небе зыбились звезды. Из-под туч тянул ветер. Над Доном на дыбах ходил туман и, пластаясь по откосу меловой горы, сполза;0.0019471697773873306
b1_p1_h3;"Григорий пришел с игрищ после первых кочетов. Из сенцев пахнуло на него запахом перекисших хмелин и пряной сухменью богородицыной травки.
На цыпочках ";0.0025547430145228195
b1_p1_h4;К вечеру собралась гроза. Над хутором стала бурая туча. Дон, взлохмаченный ветром, кидал на берега гребнистые частые волны. За левадами палила небо су;0.0168112841709874
b1_p1_h5;До хутора Сетракова — места лагерного сбора — шестьдесят верст. Петро Мелехов и Астахов Степан ехали на одной бричке. С ними еще трое казаков-хуторян:;0.01280727215316993
b1_p1_h6;"Возле лобастого, с желтой песчаной лысиной кургана остановились ночевать.
С запада шла туча. С черного ее крыла сочился дождь. Поили коней в пруду. На";0.029208454721485793
b1_p1_h7;"Аксинью выдали за Степана семнадцати лет. Взяли ее с хутора Дубровки, с той стороны Дона, с песков.
За год до выдачи осенью пахала она в степи, верст ";0.002802960900950077
b1_p1_h8;За два дня до троицы хуторские делили луг. На дележ ходил Пантелей Прокофьевич. Пришел оттуда в обед, кряхтя скинул чирики и, смачно почесывая натруже;0.004594425986559259
b1_p1_h9;От троицы только и осталось по хуторским дворам: сухой чабрец, рассыпанный на полах, пыль мятых листьев да морщиненная, отжившая зелень срубленных дуб;0.009845294086121597
b1_p1_h10;"Не лазоревым алым цветом 10, а собачьей бесилой, дурнопьяном придорожным цветет поздняя бабья любовь.
С лугового покоса переродилась Аксинья. Будто кт";0.002631618688404488
b1_p1_h11;За хутором Сетраковым в степи рядами вытянулись повозки с брезентовыми будками. Невидимо быстро вырос городок, белокрыший и аккуратный, с прямыми улоч;0.00492592224153947
b1_p1_h12;"Оставалось полторы недели до прихода казаков из лагерей.
Аксинья неистовствовала в поздней горькой своей любви. Несмотря на угрозы отца, Григорий, тая";0.020047687133899664
b1_p1_h13;С того дня, как приезжала баба Томилина, подурнел Степан с лица. Висли на глаза брови, ложбинка глубокая и черствая косо прорезала лоб. Он мало говори;0.0044511742602650825
b1_p1_h14;— …Тоскую по нем, родная бабунюшка. На своих глазыньках сохну. Не успеваю юбку ушивать — что ни день, то шире становится… Пройдет мимо база, а у меня ;0.002382307615402311
b1_p1_h15;"— Петру скажи, чтобы запрягал кобылу и своего коня.
Григорий вышел на баз. Петро выкатывал из-под навеса сарая бричку.
— Батя велит запрягать кобылу и";0.001875031444791002
b1_p1_h16;Только после того как узнал от Томилина про Аксинью, понял Степан, вынашивая в душе тоску и ненависть, что, несмотря на плохую жизнь с ней, на ту давн;0.00143443311491146
b1_p1_h17;За житом — не успели еще свозить на гумна — подошла и пшеница. На суглинистых местах, на пригорках желтел и сворачивался в трубку подгорающий лист, пе;0.014396523801947473
b1_p1_h18;Коршуновы слыли первыми богачами в хуторе Татарском. Четырнадцать пар быков, косяк лошадей, матки с Провальских заводов, полтора десятка коров, пропас;0.0026317405695585076
b1_p1_h19;В коршуновском курене предсвадебная суета. Невесте наспех дошивали кое-что из белья. Наталья вечера просиживала, вывязывая жениху традиционный шарф из;0.0037795545682330085
b1_p1_h20;"Всходит остролистая зеленая пшеница, растет; через полтора месяца грач хоронится в ней с головой, и не видно; сосет из земли соки, выколосится; потом ";0.004148175956046626
b1_p1_h21;"За невестой в поезжанье нарядили четыре пароконные подводы. По-праздничному нарядные люди толпились на мелеховском базу возле бричек.
Дружко — Петро —";0.005784800433991023
b1_p1_h22;"Отдохнувшие у Коршуновых лошади шли, добираясь до мелеховского база, из последних сил. На ременных шлеях, стекая, клубилась пена.
Подвыпившие кучера г";0.027650327161394334
b1_p1_h23;Коршуновы приехали уже после того, как жениха с невестой увезли в церковь. Пантелей Прокофьевич до этого выходил за ворота, взглядывался вдоль улицы, ;0.00230941768256661
b1_p2_h1;"Сергей Платонович Мохов издалека ведет свою родословную.
В годы царствования Петра I шла однажды в Азов по Дону государева баржа с сухарями и огнестре";0.0015158598930950491
b1_p2_h2;В конце августа Митька Коршунов случайно встретился возле Дона с дочерью Сергея Платоновича Елизаветой. Он только что приехал из-за Дона и, примыкая к;0.0006724919173973759
b1_p2_h3;"Наталья пришлась Мелеховым ко двору. Мирон Григорьевич детей школил; не глядя на свое богатство и на то, что помимо них были работники, заставлял рабо";0.008324555529072287
b1_p2_h4;"В конце октября, в воскресенье, — поехал Федот Бодовсков в станицу.
В кошелке отвез на базар четыре пары кормленых уток, продал; в лавке купил жене си";0.03859604388823062
b1_p2_h5;Григорий с женой выехали пахать за три дня до покрова. Пантелей Прокофьевич прихворнул: опираясь на костыль, охая от боли, ломавшей поясницу, вышел пр;0.001417722707564654
b1_p2_h6;С давних пор велось так: если по дороге на Миллерово ехал казак один, без товарищей, то стоило ему при встрече с украинцами (слободы их начинались от ;0.028398749625153145
