name;short_text;prob2_0
Shkola_21;Через два дня Цыганенку стало лучше. Вечером, когда я подошел к нему, он лежал на охапке сухой листвы и, уставившись в черное звездное небо, тихонько ;0.00031062979372965756
Shkola_27;На том перекрестке, где мы свернули вчера на хутор, Федя остановился и, отозвав в сторону двух самых ловких разведчиков, долго говорил им что-то, указ;0.0002886303017550797
Shkola_9;Двадцать второго февраля 1917 года военный суд шестого армейского корпуса приговорил рядового 12-го Сибирского стрелкового полка Алексея Горикова за п;0.00014382278539569232
Shkola_3;"Каждую неделю, в среду, в общем зале перед началом занятий происходила торжественная молитва о даровании победы.
После молитвы все поворачивались влев";0.0003625397969850773
Shkola_13;В Нижний Новгород поезд пришел ночью. Сразу же у вокзала я очутился на большой площади. Под огнями фонарей поблескивали штыки новеньких винтовок, отсв;0.00020557387111556623
Shkola_22;"Рыжий от загара песчаный берег таял в воде, искрившейся на отмелях солнечной рябью. У брода наших не было.
- Прошли, должно быть, - решил Чубук. - Это";0.00018004164092185582
Shkola_17;"У первой хаты меня окликнули:
- Кого черт несет? Эй, хлопец! Да стой же ты, балда этакая!
Из тени от стены хаты отделилась фигура человека с винтовкой";0.00041051174132799304
Shkola_16;"Опять взошло солнце, и стало тепло; затенькали пичужки, и приветливо закричали с неба веселые вереницы весенних журавлей. Я уже улыбался и радовался т";0.00015844860406583007
Shkola_12;За лето Федька вырос и возмужал. Он отпустил длинные волосы, завел черную рубаху-косоворотку и папку. С этой папкой, набитой газетами, он носился по у;0.000161968656267931
Shkola_15;"Прошло полгода.
Письмо, адресованное мною к матери, в солнечный апрельский день было опущено на вокзале.
""Мама!
Прощай, прощай! Уезжаю в группу славно";0.00022803324882732866
Shkola_25;"В ту же ночь, захватив свой маузер и сунув в карман бомбу, валявшуюся в капитанской повозке, с первого же пятиминутного привала я убежал.
Всю ночь без";0.00031475690802880896
Shkola_24;Уткнувшись головой в кожаную подушку, я притих. «Что же делать теперь? Как спасти Чубука? Что должен сделать я для того, чтобы помочь ему бежать? Я ви;0.00019055827393964968
Shkola_28;"Красные по всему фронту перешли в наступление.
Наш отряд подчинен был командиру бригады и занимал небольшой участок на левом фланге третьего полка.
Не";0.00033626103226915867
Shkola_11;Я пошел на кладбище проститься с Тимкой Штукиным. Вместе с отцом он уезжал на Украину, к своему дяде, у которого был где-то возле Житомира небольшой х;0.00019611711676773203
Shkola_1;Городок наш Арзамас был тихий, весь в садах, огороженных ветхими заборами. В тех садах росло великое множество «родительской вишни», яблок-скороспелок;0.0004095159095487601
Shkola_5;Я, Федька, Тимка и Яшка Цуккерштейн только собрались играть в городки, как прибежал из сада сапожников мальчишка и сообщил, что к нашему берегу причал;0.000189329483004266
Shkola_14;С удивлением и любопытством поглядывал я на серые от копоти домики, на каменные стены заводов, через черные окна которых поблескивали языки яркого пла;0.00015280391222327082
Shkola_8;Через три дня мать вызвали в полицию и сообщили ей, что ее муж дезертировал из части. С матери взяли подписку в том, что «сведений о его настоящем мес;0.00018338963123939528
Shkola_19;"- Пробирайся по правому скату, - приказал Чубук. - Шмаков пойдет по левому, а я - вниз посередке. Как что заметите, так мне знать подавайте.
Мы стали ";0.000372999718013483
Shkola_4;"Нас распустили на летние каникулы. Мы с Федькой строили всевозможные планы на лето. Работы впереди предстояло много.
Во-первых, нужно было построить п";0.0001637501595942573
Shkola_6;Лето подходило к концу. Федька усиленно готовился к переэкзаменовке. Яшка Цуккерштейн, напившись болотной воды, заболел лихорадкой, и я как-то неожида;0.0001972484664719425
Shkola_2;Однажды, наскоро попив чаю, кое-как собрав книги, я побежал в школу. По дороге встретил Тимку Штукина - одноклассника, маленького вертлявого человечка;0.00014704820512710589
Shkola_29;"Уже несколько дней шли бои под Новохоперском. Были втянуты все дивизионные резервы, а казаки все еще крепко держали позиции.
На четвертый день с утра ";0.0005798346513965852
Shkola_10;"Прошло несколько месяцев с тех пор, как я встретился с Галкой.
На Сальниковой улице, рядом с огромным зданием духовного училища, стоял маленький, окру";0.00015179658551739737
Shkola_26;"Однажды Шебалов приказал Феде:
- Седлай, Федор, коней и направляйся в деревеньку Выселки. Второй полк по телефону разведать просил, Нету ли там белых.";0.0003014915678157227
Shkola_20;Мир между Россией и Германией был давно уже подписан, но, несмотря на это, немцы не только наводнили своими войсками украинскую контрреволюционную в т;0.00013966653664398827
Shkola_7;"Однажды, уже в сентябре, Федька засиделся у меня до позднего вечера. Мы вместе заучивали уроки.
Едва мы кончили и он сложил книги и тетради, собираясь";0.0001453525582693588
Shkola_18;"Через три дня, не доезжая немного до станции Шахтной, отряд спешно выгрузился
Примчался откуда-то молодой парнишка-кавалерист, сунул Шебалову пакет и ";0.00040908277978141973
Shkola_23;Солдат на улице еще не было видно - вероятно, опали. Возле церкви стояло несколько двуколок, крытый фургон с красным крестом, а около походной кухни з;0.00015599553894802138
