name;short_text;prob2_0
Shkola_21;Через два дня Цыганенку стало лучше. Вечером, когда я подошел к нему, он лежал на охапке сухой листвы и, уставившись в черное звездное небо, тихонько ;0.0011247250490062813
Shkola_27;На том перекрестке, где мы свернули вчера на хутор, Федя остановился и, отозвав в сторону двух самых ловких разведчиков, долго говорил им что-то, указ;0.0005320698900009934
Shkola_9;Двадцать второго февраля 1917 года военный суд шестого армейского корпуса приговорил рядового 12-го Сибирского стрелкового полка Алексея Горикова за п;0.00011007589715274873
Shkola_3;"Каждую неделю, в среду, в общем зале перед началом занятий происходила торжественная молитва о даровании победы.
После молитвы все поворачивались влев";0.0030497236085034467
Shkola_13;В Нижний Новгород поезд пришел ночью. Сразу же у вокзала я очутился на большой площади. Под огнями фонарей поблескивали штыки новеньких винтовок, отсв;0.00025187070391048634
Shkola_22;"Рыжий от загара песчаный берег таял в воде, искрившейся на отмелях солнечной рябью. У брода наших не было.
- Прошли, должно быть, - решил Чубук. - Это";0.0008010579414071222
Shkola_17;"У первой хаты меня окликнули:
- Кого черт несет? Эй, хлопец! Да стой же ты, балда этакая!
Из тени от стены хаты отделилась фигура человека с винтовкой";0.00534487883659998
Shkola_16;"Опять взошло солнце, и стало тепло; затенькали пичужки, и приветливо закричали с неба веселые вереницы весенних журавлей. Я уже улыбался и радовался т";0.0007922619012115004
Shkola_12;За лето Федька вырос и возмужал. Он отпустил длинные волосы, завел черную рубаху-косоворотку и папку. С этой папкой, набитой газетами, он носился по у;0.0035650074060150356
Shkola_15;"Прошло полгода.
Письмо, адресованное мною к матери, в солнечный апрельский день было опущено на вокзале.
""Мама!
Прощай, прощай! Уезжаю в группу славно";0.00029224826666356764
Shkola_25;"В ту же ночь, захватив свой маузер и сунув в карман бомбу, валявшуюся в капитанской повозке, с первого же пятиминутного привала я убежал.
Всю ночь без";0.002454668705626704
Shkola_24;Уткнувшись головой в кожаную подушку, я притих. «Что же делать теперь? Как спасти Чубука? Что должен сделать я для того, чтобы помочь ему бежать? Я ви;0.0022418002199227184
Shkola_28;"Красные по всему фронту перешли в наступление.
Наш отряд подчинен был командиру бригады и занимал небольшой участок на левом фланге третьего полка.
Не";0.006734986301569164
Shkola_11;Я пошел на кладбище проститься с Тимкой Штукиным. Вместе с отцом он уезжал на Украину, к своему дяде, у которого был где-то возле Житомира небольшой х;0.0003618468981083863
Shkola_1;Городок наш Арзамас был тихий, весь в садах, огороженных ветхими заборами. В тех садах росло великое множество «родительской вишни», яблок-скороспелок;0.018936659788936702
Shkola_5;Я, Федька, Тимка и Яшка Цуккерштейн только собрались играть в городки, как прибежал из сада сапожников мальчишка и сообщил, что к нашему берегу причал;0.0003850369771324352
Shkola_14;С удивлением и любопытством поглядывал я на серые от копоти домики, на каменные стены заводов, через черные окна которых поблескивали языки яркого пла;0.0002785376264210579
Shkola_8;Через три дня мать вызвали в полицию и сообщили ей, что ее муж дезертировал из части. С матери взяли подписку в том, что «сведений о его настоящем мес;0.0025791158460605
Shkola_19;"- Пробирайся по правому скату, - приказал Чубук. - Шмаков пойдет по левому, а я - вниз посередке. Как что заметите, так мне знать подавайте.
Мы стали ";0.0008176210878802468
Shkola_4;"Нас распустили на летние каникулы. Мы с Федькой строили всевозможные планы на лето. Работы впереди предстояло много.
Во-первых, нужно было построить п";0.00010396389757886478
Shkola_6;Лето подходило к концу. Федька усиленно готовился к переэкзаменовке. Яшка Цуккерштейн, напившись болотной воды, заболел лихорадкой, и я как-то неожида;0.0025829568929256162
Shkola_2;Однажды, наскоро попив чаю, кое-как собрав книги, я побежал в школу. По дороге встретил Тимку Штукина - одноклассника, маленького вертлявого человечка;0.0008141981953615859
Shkola_29;"Уже несколько дней шли бои под Новохоперском. Были втянуты все дивизионные резервы, а казаки все еще крепко держали позиции.
На четвертый день с утра ";0.005196718642937721
Shkola_10;"Прошло несколько месяцев с тех пор, как я встретился с Галкой.
На Сальниковой улице, рядом с огромным зданием духовного училища, стоял маленький, окру";9.83186738676723e-05
Shkola_26;"Однажды Шебалов приказал Феде:
- Седлай, Федор, коней и направляйся в деревеньку Выселки. Второй полк по телефону разведать просил, Нету ли там белых.";0.0039846003355600195
Shkola_20;Мир между Россией и Германией был давно уже подписан, но, несмотря на это, немцы не только наводнили своими войсками украинскую контрреволюционную в т;5.748823783500705e-05
Shkola_7;"Однажды, уже в сентябре, Федька засиделся у меня до позднего вечера. Мы вместе заучивали уроки.
Едва мы кончили и он сложил книги и тетради, собираясь";0.0012858291555706601
Shkola_18;"Через три дня, не доезжая немного до станции Шахтной, отряд спешно выгрузился
Примчался откуда-то молодой парнишка-кавалерист, сунул Шебалову пакет и ";0.0010420610315260315
Shkola_23;Солдат на улице еще не было видно - вероятно, опали. Возле церкви стояло несколько двуколок, крытый фургон с красным крестом, а около походной кухни з;0.0010801734608889182
